DAY 1,283214,,,14137
Height (nm),Counts,Width (nm),Adj. Width,Counts
8.575,0,34.3,30.0,20
8.625,0,34.5,30.2,18
8.675,0,34.7,30.4,13
8.725,0,34.9,30.5,10
8.775,0,35.1,30.7,10
8.825,0,35.3,30.9,5
8.875,0,35.5,31.1,8
8.925,0,35.7,31.2,7
8.975,0,35.9,31.4,6
9.025,0,36.1,31.6,5
9.075,0,36.3,31.8,4
9.125,0,36.5,31.9,1
9.175,0,36.7,32.1,1
9.225,0,36.9,32.3,2
9.275,0,37.1,32.5,2
9.325,0,37.3,32.6,2
9.375,0,37.5,32.8,1
9.425,0,37.7,33.0,2
9.475,0,37.9,33.2,1
9.525,0,38.1,33.3,2
9.575,0,38.3,33.5,2
9.625,0,38.5,33.7,2
9.675,0,38.7,33.9,1
9.725,0,38.9,34.0,1
9.775,0,39.1,34.2,0
9.825,0,39.3,34.4,1
9.875,0,39.5,34.6,1
9.925,0,39.7,34.7,1
9.975,0,39.9,34.9,1
10.025,0,40.1,35.1,1
10.075,0,40.3,35.3,0
10.125,0,40.5,35.4,0
10.175,0,40.7,35.6,0
10.225,0,40.9,35.8,0
10.275,0,41.1,36.0,0
10.325,0,41.3,36.1,0
10.375,0,41.5,36.3,0
10.425,0,41.7,36.5,0
10.475,0,41.9,36.7,0
10.525,0,42.1,36.8,0
10.575,0,42.3,37.0,0
10.625,0,42.5,37.2,0
10.675,0,42.7,37.4,0
10.725,0,42.9,37.5,0
10.775,0,43.1,37.7,0
10.825,0,43.3,37.9,0
10.875,0,43.5,38.1,0
10.925,0,43.7,38.2,0
10.975,0,43.9,38.4,0
11.025,0,44.1,38.6,0
11.075,0,44.3,38.8,0
11.125,0,44.5,39.0,0
11.175,0,44.7,39.1,0
11.225,0,44.9,39.3,0
11.275,0,45.1,39.5,0
11.325,0,45.3,39.7,0
11.375,0,45.5,39.8,0
11.425,0,45.7,40.0,0
11.475,0,45.9,40.2,0
11.525,0,46.1,40.4,0
11.575,0,46.3,40.5,0
11.625,0,46.5,40.7,0
11.675,0,46.7,40.9,0
11.725,0,46.9,41.1,0
11.775,0,47.1,41.2,0
11.825,0,47.3,41.4,0
11.875,0,47.5,41.6,0
11.925,0,47.7,41.8,0
11.975,0,47.9,41.9,0
12.025,0,48.1,42.1,0
12.075,0,48.3,42.3,0
12.125,0,48.5,42.5,1
